Scenario Information
Number of IoT Nodes,80
Number of UAVs,4
Number of Ground BS,4

Seed,Fitness,Peak AOI,Avg AOI,Coverage,Total Distance,Unserved IoT,Runtime (s)
42,0.359305,206,118.175,1.0,6693.287436569988,0,1456.2796230316162
Individual AoIs for Seed,42
IoT 1,141,t_gen=6
IoT 2,101,t_gen=17
IoT 3,101,t_gen=17
IoT 4,110,t_gen=8
IoT 5,194,t_gen=5
IoT 6,168,t_gen=4
IoT 7,65,t_gen=3
IoT 8,22,t_gen=11
IoT 9,101,t_gen=14
IoT 10,195,t_gen=12
IoT 11,98,t_gen=20
IoT 12,189,t_gen=18
IoT 13,26,t_gen=7
IoT 14,108,t_gen=7
IoT 15,158,t_gen=14
IoT 16,161,t_gen=11
IoT 17,98,t_gen=20
IoT 18,101,t_gen=17
IoT 19,169,t_gen=12
IoT 20,190,t_gen=17
IoT 21,152,t_gen=1
IoT 22,23,t_gen=10
IoT 23,129,t_gen=18
IoT 24,152,t_gen=20
IoT 25,187,t_gen=20
IoT 26,111,t_gen=7
IoT 27,75,t_gen=18
IoT 28,107,t_gen=11
IoT 29,52,t_gen=16
IoT 30,65,t_gen=3
IoT 31,105,t_gen=13
IoT 32,153,t_gen=19
IoT 33,98,t_gen=17
IoT 34,206,t_gen=3
IoT 35,60,t_gen=8
IoT 36,163,t_gen=9
IoT 37,110,t_gen=8
IoT 38,99,t_gen=16
IoT 39,106,t_gen=9
IoT 40,141,t_gen=6
IoT 41,51,t_gen=17
IoT 42,115,t_gen=0
IoT 43,84,t_gen=3
IoT 44,106,t_gen=9
IoT 45,129,t_gen=18
IoT 46,6,t_gen=15
IoT 47,98,t_gen=17
IoT 48,163,t_gen=15
IoT 49,206,t_gen=16
IoT 50,166,t_gen=6
IoT 51,109,t_gen=6
IoT 52,152,t_gen=20
IoT 53,193,t_gen=14
IoT 54,108,t_gen=10
IoT 55,100,t_gen=18
IoT 56,13,t_gen=20
IoT 57,32,t_gen=1
IoT 58,206,t_gen=7
IoT 59,192,t_gen=17
IoT 60,50,t_gen=18
IoT 61,116,t_gen=15
IoT 62,171,t_gen=3
IoT 63,159,t_gen=13
IoT 64,48,t_gen=20
IoT 65,21,t_gen=12
IoT 66,112,t_gen=3
IoT 67,19,t_gen=14
IoT 68,104,t_gen=14
IoT 69,193,t_gen=14
IoT 70,112,t_gen=3
IoT 71,68,t_gen=0
IoT 72,108,t_gen=7
IoT 73,112,t_gen=6
IoT 74,110,t_gen=5
IoT 75,199,t_gen=8
IoT 76,106,t_gen=9
IoT 77,190,t_gen=17
IoT 78,70,t_gen=6
IoT 79,189,t_gen=18
IoT 80,178,t_gen=10

50,0.35870749999999996,205,119.5125,1.0,6678.531975574922,0,1067.9600989818573
Individual AoIs for Seed,50
IoT 1,203,t_gen=4
IoT 2,35,t_gen=11
IoT 3,36,t_gen=10
IoT 4,91,t_gen=13
IoT 5,119,t_gen=2
IoT 6,101,t_gen=20
IoT 7,94,t_gen=10
IoT 8,172,t_gen=3
IoT 9,164,t_gen=18
IoT 10,54,t_gen=6
IoT 11,57,t_gen=19
IoT 12,101,t_gen=3
IoT 13,190,t_gen=17
IoT 14,89,t_gen=17
IoT 15,86,t_gen=18
IoT 16,196,t_gen=11
IoT 17,196,t_gen=11
IoT 18,162,t_gen=13
IoT 19,91,t_gen=20
IoT 20,97,t_gen=7
IoT 21,66,t_gen=4
IoT 22,165,t_gen=10
IoT 23,173,t_gen=2
IoT 24,199,t_gen=8
IoT 25,194,t_gen=13
IoT 26,205,t_gen=2
IoT 27,50,t_gen=0
IoT 28,157,t_gen=18
IoT 29,164,t_gen=11
IoT 30,192,t_gen=15
IoT 31,40,t_gen=6
IoT 32,102,t_gen=2
IoT 33,42,t_gen=4
IoT 34,164,t_gen=11
IoT 35,168,t_gen=7
IoT 36,198,t_gen=9
IoT 37,192,t_gen=15
IoT 38,50,t_gen=4
IoT 39,27,t_gen=19
IoT 40,58,t_gen=12
IoT 41,31,t_gen=15
IoT 42,165,t_gen=10
IoT 43,199,t_gen=8
IoT 44,101,t_gen=3
IoT 45,198,t_gen=9
IoT 46,96,t_gen=8
IoT 47,63,t_gen=7
IoT 48,97,t_gen=7
IoT 49,120,t_gen=7
IoT 50,29,t_gen=17
IoT 51,55,t_gen=8
IoT 52,198,t_gen=9
IoT 53,96,t_gen=5
IoT 54,106,t_gen=15
IoT 55,69,t_gen=1
IoT 56,202,t_gen=5
IoT 57,159,t_gen=16
IoT 58,55,t_gen=15
IoT 59,50,t_gen=20
IoT 60,190,t_gen=17
IoT 61,103,t_gen=1
IoT 62,143,t_gen=2
IoT 63,32,t_gen=14
IoT 64,169,t_gen=6
IoT 65,156,t_gen=19
IoT 66,59,t_gen=11
IoT 67,132,t_gen=1
IoT 68,57,t_gen=13
IoT 69,193,t_gen=14
IoT 70,53,t_gen=17
IoT 71,85,t_gen=3
IoT 72,100,t_gen=4
IoT 73,198,t_gen=9
IoT 74,190,t_gen=17
IoT 75,100,t_gen=4
IoT 76,201,t_gen=6
IoT 77,48,t_gen=11
IoT 78,31,t_gen=15
IoT 79,102,t_gen=2
IoT 80,190,t_gen=17

Final Averages
avg_fitness,0.35900624999999997
avg_peak_aoi,205.5
avg_avg_aoi,118.84375
avg_coverage,1.0
avg_total_dist,6685.909706072455
avg_unserved,0.0
avg_runtime,1262.1198610067368
