Scenario Information
Number of IoT Nodes,40
Number of UAVs,4
Number of Ground BS,4

Seed,Fitness,Peak AOI,Avg AOI,Coverage,Total Distance,Unserved IoT,Runtime (s)
42,0.4975962946467313,177,100.7,1.0,6357.633687787567,0,38.75152945518494
Individual AoIs for Seed,42
IoT 1,68,t_gen=6
IoT 2,154,t_gen=17
IoT 3,154,t_gen=17
IoT 4,84,t_gen=8
IoT 5,15,t_gen=5
IoT 6,51,t_gen=4
IoT 7,90,t_gen=3
IoT 8,82,t_gen=11
IoT 9,83,t_gen=14
IoT 10,124,t_gen=12
IoT 11,73,t_gen=20
IoT 12,118,t_gen=18
IoT 13,86,t_gen=7
IoT 14,173,t_gen=7
IoT 15,122,t_gen=14
IoT 16,63,t_gen=11
IoT 17,160,t_gen=20
IoT 18,76,t_gen=17
IoT 19,166,t_gen=12
IoT 20,76,t_gen=17
IoT 21,91,t_gen=1
IoT 22,161,t_gen=10
IoT 23,153,t_gen=18
IoT 24,35,t_gen=20
IoT 25,158,t_gen=20
IoT 26,86,t_gen=7
IoT 27,61,t_gen=18
IoT 28,167,t_gen=11
IoT 29,77,t_gen=16
IoT 30,177,t_gen=3
IoT 31,80,t_gen=13
IoT 32,55,t_gen=19
IoT 33,161,t_gen=17
IoT 34,7,t_gen=3
IoT 35,66,t_gen=8
IoT 36,46,t_gen=9
IoT 37,170,t_gen=8
IoT 38,164,t_gen=16
IoT 39,46,t_gen=9
IoT 40,49,t_gen=6

50,0.4404691421133103,154,88.85,1.0,5723.580864936559,0,42.66991829872131
Individual AoIs for Seed,50
IoT 1,90,t_gen=4
IoT 2,83,t_gen=11
IoT 3,128,t_gen=10
IoT 4,150,t_gen=13
IoT 5,61,t_gen=2
IoT 6,79,t_gen=20
IoT 7,32,t_gen=10
IoT 8,25,t_gen=3
IoT 9,76,t_gen=18
IoT 10,93,t_gen=6
IoT 11,75,t_gen=19
IoT 12,91,t_gen=3
IoT 13,82,t_gen=17
IoT 14,11,t_gen=17
IoT 15,81,t_gen=18
IoT 16,88,t_gen=11
IoT 17,88,t_gen=11
IoT 18,145,t_gen=13
IoT 19,86,t_gen=20
IoT 20,87,t_gen=7
IoT 21,102,t_gen=4
IoT 22,18,t_gen=10
IoT 23,104,t_gen=2
IoT 24,55,t_gen=8
IoT 25,151,t_gen=13
IoT 26,92,t_gen=2
IoT 27,42,t_gen=0
IoT 28,140,t_gen=18
IoT 29,127,t_gen=11
IoT 30,148,t_gen=15
IoT 31,132,t_gen=6
IoT 32,40,t_gen=2
IoT 33,134,t_gen=4
IoT 34,95,t_gen=11
IoT 35,151,t_gen=7
IoT 36,154,t_gen=9
IoT 37,27,t_gen=15
IoT 38,22,t_gen=4
IoT 39,75,t_gen=19
IoT 40,94,t_gen=12

55,0.3796992304813487,123,73.65,1.0,5314.875644836303,0,53.72250151634216
Individual AoIs for Seed,55
