Scenario Information
Number of IoT Nodes,60
Number of UAVs,3
Number of Ground BS,4

Seed,Fitness,Peak AOI,Avg AOI,Coverage,Total Distance,Unserved IoT,Runtime (s)
42,0.051325,256,102.65,1.0,6677.400695246428,0,198.14353013038635
Individual AoIs for Seed,42
IoT 1,110,t_gen=6
IoT 2,49,t_gen=17
IoT 3,174,t_gen=17
IoT 4,58,t_gen=8
IoT 5,125,t_gen=5
IoT 6,94,t_gen=4
IoT 7,85,t_gen=3
IoT 8,105,t_gen=11
IoT 9,177,t_gen=14
IoT 10,76,t_gen=12
IoT 11,96,t_gen=20
IoT 12,70,t_gen=18
IoT 13,109,t_gen=7
IoT 14,170,t_gen=7
IoT 15,52,t_gen=14
IoT 16,87,t_gen=11
IoT 17,46,t_gen=20
IoT 18,174,t_gen=17
IoT 19,99,t_gen=12
IoT 20,174,t_gen=17
IoT 21,115,t_gen=1
IoT 22,106,t_gen=10
IoT 23,98,t_gen=18
IoT 24,157,t_gen=20
IoT 25,68,t_gen=20
IoT 26,59,t_gen=7
IoT 27,70,t_gen=18
IoT 28,55,t_gen=11
IoT 29,175,t_gen=16
IoT 30,174,t_gen=3
IoT 31,219,t_gen=13
IoT 32,79,t_gen=19
IoT 33,160,t_gen=17
IoT 34,7,t_gen=3
IoT 35,90,t_gen=8
IoT 36,102,t_gen=9
IoT 37,58,t_gen=8
IoT 38,161,t_gen=16
IoT 39,79,t_gen=9
IoT 40,60,t_gen=6
IoT 41,71,t_gen=17
IoT 42,177,t_gen=0
IoT 43,63,t_gen=3
IoT 44,79,t_gen=9
IoT 45,3,t_gen=18
IoT 46,125,t_gen=15
IoT 47,160,t_gen=17
IoT 48,0,t_gen=15
IoT 49,131,t_gen=16
IoT 50,60,t_gen=6
IoT 51,82,t_gen=6
IoT 52,78,t_gen=20
IoT 53,74,t_gen=14
IoT 54,11,t_gen=10
IoT 55,256,t_gen=18
IoT 56,212,t_gen=20
IoT 57,20,t_gen=1
IoT 58,113,t_gen=7
IoT 59,49,t_gen=17
IoT 60,173,t_gen=18

50,0.04827499999999999,250,96.55,1.0,6482.787607136597,0,193.12990069389343
Individual AoIs for Seed,50
IoT 1,54,t_gen=4
IoT 2,98,t_gen=11
IoT 3,99,t_gen=10
IoT 4,240,t_gen=13
IoT 5,144,t_gen=2
IoT 6,76,t_gen=20
IoT 7,48,t_gen=10
IoT 8,63,t_gen=3
IoT 9,7,t_gen=18
IoT 10,103,t_gen=6
IoT 11,39,t_gen=19
IoT 12,250,t_gen=3
IoT 13,79,t_gen=17
IoT 14,150,t_gen=17
IoT 15,40,t_gen=18
IoT 16,126,t_gen=11
IoT 17,47,t_gen=11
IoT 18,53,t_gen=13
IoT 19,112,t_gen=20
IoT 20,89,t_gen=7
IoT 21,62,t_gen=4
IoT 22,56,t_gen=10
IoT 23,64,t_gen=2
IoT 24,143,t_gen=8
IoT 25,160,t_gen=13
IoT 26,94,t_gen=2
IoT 27,62,t_gen=0
IoT 28,48,t_gen=18
IoT 29,55,t_gen=11
IoT 30,81,t_gen=15
IoT 31,19,t_gen=6
IoT 32,135,t_gen=2
IoT 33,21,t_gen=4
IoT 34,121,t_gen=11
IoT 35,125,t_gen=7
IoT 36,87,t_gen=9
IoT 37,43,t_gen=15
IoT 38,54,t_gen=4
IoT 39,90,t_gen=19
IoT 40,54,t_gen=12
IoT 41,94,t_gen=15
IoT 42,56,t_gen=10
IoT 43,88,t_gen=8
IoT 44,237,t_gen=3
IoT 45,49,t_gen=9
IoT 46,143,t_gen=8
IoT 47,59,t_gen=7
IoT 48,246,t_gen=7
IoT 49,168,t_gen=7
IoT 50,59,t_gen=17
IoT 51,129,t_gen=8
IoT 52,142,t_gen=9
IoT 53,53,t_gen=5
IoT 54,152,t_gen=15
IoT 55,95,t_gen=1
IoT 56,168,t_gen=5
IoT 57,116,t_gen=16
IoT 58,68,t_gen=15
IoT 59,46,t_gen=20
IoT 60,134,t_gen=17

55,0.044183333333333324,266,88.36666666666666,1.0,6261.088375592602,0,191.9863419532776
Individual AoIs for Seed,55
IoT 1,167,t_gen=15
IoT 2,98,t_gen=12
IoT 3,113,t_gen=17
IoT 4,56,t_gen=8
IoT 5,36,t_gen=0
IoT 6,100,t_gen=1
IoT 7,44,t_gen=20
IoT 8,195,t_gen=6
IoT 9,70,t_gen=0
IoT 10,45,t_gen=9
IoT 11,34,t_gen=7
IoT 12,94,t_gen=7
IoT 13,58,t_gen=6
IoT 14,51,t_gen=13
IoT 15,110,t_gen=3
IoT 16,108,t_gen=2
IoT 17,38,t_gen=8
IoT 18,62,t_gen=2
IoT 19,86,t_gen=15
IoT 20,58,t_gen=17
IoT 21,73,t_gen=12
IoT 22,105,t_gen=5
IoT 23,57,t_gen=7
IoT 24,112,t_gen=11
IoT 25,190,t_gen=11
IoT 26,74,t_gen=1
IoT 27,95,t_gen=15
IoT 28,185,t_gen=16
IoT 29,104,t_gen=6
IoT 30,96,t_gen=5
IoT 31,64,t_gen=11
IoT 32,110,t_gen=0
IoT 33,61,t_gen=3
IoT 34,108,t_gen=15
IoT 35,33,t_gen=3
IoT 36,70,t_gen=6
IoT 37,181,t_gen=20
IoT 38,12,t_gen=15
IoT 39,88,t_gen=13
IoT 40,34,t_gen=2
IoT 41,65,t_gen=12
IoT 42,202,t_gen=2
IoT 43,10,t_gen=13
IoT 44,47,t_gen=17
IoT 45,96,t_gen=8
IoT 46,100,t_gen=1
