Scenario Information
Number of IoT Nodes,60
Number of UAVs,3
Number of Ground BS,4

Seed,Peak AOI,Avg AOI,Coverage,Total Distance,Unserved IoT,Runtime (s)
42,233,191.0,1.0,7562.8171972572645,0,5.315058469772339
Individual AoIs for Seed,42
IoT 1,117,t_gen=6
IoT 2,106,t_gen=17
IoT 3,106,t_gen=17
IoT 4,115,t_gen=8
IoT 5,225,t_gen=5
IoT 6,226,t_gen=4
IoT 7,201,t_gen=3
IoT 8,193,t_gen=11
IoT 9,226,t_gen=14
IoT 10,228,t_gen=12
IoT 11,202,t_gen=20
IoT 12,222,t_gen=18
IoT 13,116,t_gen=7
IoT 14,233,t_gen=7
IoT 15,216,t_gen=14
IoT 16,151,t_gen=11
IoT 17,184,t_gen=20
IoT 18,187,t_gen=17
IoT 19,218,t_gen=12
IoT 20,187,t_gen=17
IoT 21,203,t_gen=1
IoT 22,194,t_gen=10
IoT 23,186,t_gen=18
IoT 24,210,t_gen=20
IoT 25,220,t_gen=20
IoT 26,197,t_gen=7
IoT 27,222,t_gen=18
IoT 28,193,t_gen=11
IoT 29,214,t_gen=16
IoT 30,201,t_gen=3
IoT 31,191,t_gen=13
IoT 32,143,t_gen=19
IoT 33,213,t_gen=17
IoT 34,227,t_gen=3
IoT 35,154,t_gen=8
IoT 36,221,t_gen=9
IoT 37,115,t_gen=8
IoT 38,224,t_gen=16
IoT 39,221,t_gen=9
IoT 40,156,t_gen=6
IoT 41,187,t_gen=17
IoT 42,230,t_gen=0
IoT 43,201,t_gen=3
IoT 44,221,t_gen=9
IoT 45,186,t_gen=18
IoT 46,215,t_gen=15
IoT 47,223,t_gen=17
IoT 48,215,t_gen=15
IoT 49,214,t_gen=16
IoT 50,224,t_gen=6
IoT 51,224,t_gen=6
IoT 52,210,t_gen=20
IoT 53,226,t_gen=14
IoT 54,113,t_gen=10
IoT 55,186,t_gen=18
IoT 56,184,t_gen=20
IoT 57,203,t_gen=1
IoT 58,223,t_gen=7
IoT 59,106,t_gen=17
IoT 60,105,t_gen=18

50,163,150.13333333333333,1.0,5941.9289306498795,0,6.428946018218994
Individual AoIs for Seed,50
IoT 1,161,t_gen=4
IoT 2,154,t_gen=11
IoT 3,155,t_gen=10
IoT 4,140,t_gen=13
IoT 5,151,t_gen=2
IoT 6,133,t_gen=20
IoT 7,155,t_gen=10
IoT 8,150,t_gen=3
IoT 9,159,t_gen=18
IoT 10,159,t_gen=6
IoT 11,146,t_gen=19
IoT 12,150,t_gen=3
IoT 13,141,t_gen=17
IoT 14,147,t_gen=17
IoT 15,147,t_gen=18
IoT 16,154,t_gen=11
IoT 17,154,t_gen=11
IoT 18,145,t_gen=13
IoT 19,144,t_gen=20
IoT 20,146,t_gen=7
IoT 21,154,t_gen=4
IoT 22,143,t_gen=10
IoT 23,156,t_gen=2
IoT 24,145,t_gen=8
IoT 25,152,t_gen=13
IoT 26,163,t_gen=2
IoT 27,158,t_gen=0
IoT 28,140,t_gen=18
IoT 29,159,t_gen=11
IoT 30,138,t_gen=15
IoT 31,152,t_gen=6
IoT 32,163,t_gen=2
IoT 33,154,t_gen=4
IoT 34,147,t_gen=11
IoT 35,151,t_gen=7
IoT 36,144,t_gen=9
IoT 37,150,t_gen=15
IoT 38,161,t_gen=4
IoT 39,139,t_gen=19
