Scenario Information
Number of IoT Nodes,20
Number of UAVs,3
Number of Ground BS,4

Seed,Peak AOI,Avg AOI,Coverage,Total Distance,Unserved IoT,Runtime (s)
42,107,91.2,1.0,3715.489594797741,0,62.956011056900024
IoT-Level AoIs for Seed,42
IoT 1,78,t_gen=6
IoT 2,67,t_gen=17
IoT 3,90,t_gen=17
IoT 4,104,t_gen=8
IoT 5,79,t_gen=5
IoT 6,103,t_gen=4
IoT 7,81,t_gen=3
IoT 8,96,t_gen=11
IoT 9,93,t_gen=14
IoT 10,100,t_gen=12
IoT 11,87,t_gen=20
IoT 12,89,t_gen=18
IoT 13,77,t_gen=7
IoT 14,105,t_gen=7
IoT 15,107,t_gen=14
IoT 16,101,t_gen=11
IoT 17,87,t_gen=20
IoT 18,90,t_gen=17
IoT 19,95,t_gen=12
IoT 20,95,t_gen=17

50,100,69.35,1.0,3002.6610018866986,0,40.88244104385376
IoT-Level AoIs for Seed,50
IoT 1,79,t_gen=4
IoT 2,72,t_gen=11
IoT 3,73,t_gen=10
IoT 4,90,t_gen=13
IoT 5,95,t_gen=2
IoT 6,83,t_gen=20
IoT 7,73,t_gen=10
IoT 8,19,t_gen=3
IoT 9,4,t_gen=18
IoT 10,97,t_gen=6
IoT 11,64,t_gen=19
IoT 12,100,t_gen=3
IoT 13,86,t_gen=17
IoT 14,5,t_gen=17
IoT 15,65,t_gen=18
IoT 16,92,t_gen=11
IoT 17,72,t_gen=11
IoT 18,59,t_gen=13
IoT 19,63,t_gen=20
IoT 20,96,t_gen=7

55,93,63.55,1.0,3594.682572173063,0,36.039116859436035
IoT-Level AoIs for Seed,55
IoT 1,78,t_gen=15
IoT 2,81,t_gen=12
IoT 3,9,t_gen=17
IoT 4,79,t_gen=8
IoT 5,87,t_gen=0
IoT 6,91,t_gen=1
IoT 7,67,t_gen=20
IoT 8,81,t_gen=6
IoT 9,93,t_gen=0
IoT 10,3,t_gen=9
IoT 11,34,t_gen=7
IoT 12,85,t_gen=7
IoT 13,17,t_gen=6
IoT 14,74,t_gen=13
IoT 15,89,t_gen=3
IoT 16,85,t_gen=2
IoT 17,44,t_gen=8
IoT 18,21,t_gen=2
IoT 19,77,t_gen=15
IoT 20,76,t_gen=17

60,116,80.0,1.0,3473.167965601676,0,27.445098876953125
IoT-Level AoIs for Seed,60
IoT 1,31,t_gen=5
