Scenario Information
Number of IoT Nodes,60
Number of UAVs,4
Number of Ground BS,4

Seed,Peak AOI,Avg AOI,Coverage,Total Distance,Unserved IoT,Runtime (s)
42,181,133.73333333333332,1.0,5341.914310103873,0,82.40299367904663
IoT-Level AoIs for Seed,42
IoT 1,162,t_gen=6
IoT 2,151,t_gen=17
IoT 3,151,t_gen=17
IoT 4,160,t_gen=8
IoT 5,71,t_gen=5
IoT 6,164,t_gen=4
IoT 7,165,t_gen=3
IoT 8,157,t_gen=11
IoT 9,150,t_gen=14
IoT 10,152,t_gen=12
IoT 11,148,t_gen=20
IoT 12,146,t_gen=18
IoT 13,161,t_gen=7
IoT 14,157,t_gen=7
IoT 15,154,t_gen=14
IoT 16,157,t_gen=11
IoT 17,148,t_gen=20
IoT 18,151,t_gen=17
IoT 19,44,t_gen=12
IoT 20,147,t_gen=17
IoT 21,181,t_gen=1
IoT 22,158,t_gen=10
IoT 23,150,t_gen=18
IoT 24,10,t_gen=20
IoT 25,144,t_gen=20
IoT 26,161,t_gen=7
IoT 27,146,t_gen=18
IoT 28,157,t_gen=11
IoT 29,148,t_gen=16
IoT 30,161,t_gen=3
IoT 31,155,t_gen=13
IoT 32,149,t_gen=19
IoT 33,147,t_gen=17
IoT 34,7,t_gen=3
IoT 35,46,t_gen=8
IoT 36,159,t_gen=9
IoT 37,160,t_gen=8
IoT 38,148,t_gen=16
IoT 39,155,t_gen=9
IoT 40,158,t_gen=6
IoT 41,151,t_gen=17
IoT 42,164,t_gen=0
IoT 43,165,t_gen=3
IoT 44,155,t_gen=9
IoT 45,158,t_gen=18
IoT 46,71,t_gen=15
IoT 47,147,t_gen=17
IoT 48,43,t_gen=15
IoT 49,3,t_gen=16
IoT 50,48,t_gen=6
IoT 51,158,t_gen=6
IoT 52,148,t_gen=20
IoT 53,150,t_gen=14
IoT 54,158,t_gen=10
IoT 55,150,t_gen=18
IoT 56,148,t_gen=20
IoT 57,167,t_gen=1
IoT 58,59,t_gen=7
IoT 59,39,t_gen=17
IoT 60,146,t_gen=18

Final Averages
avg_peak_aoi,181.0
avg_avg_aoi,133.73333333333332
avg_coverage,1.0
avg_total_dist,5341.914310103873
avg_unserved,0.0
avg_runtime,82.40299367904663
